"CourseMajor";"CourseID";"ID";"CourseName";"CreditHour";"LectureHour";"LabHour";"Attribute";"GradeMode";"Prerequisite";"Corequisite"
"HA";"HA 3341";"3341";"Project Management & Professional Development in Healthcare";3;3;0;"009 044";"1";"";""
"HA";"HA 3344";"3344";"Patient Care Management & Quality Improvement in Health Care Integrated Delivery Systems";3;3;0;"009";"1";"";""
"HA";"HA 3347";"3347";"Essentials of Healthcare Law";3;3;0;"009";"1";"";""
"HA";"HA 3375";"3375";"Principles of Accounting for Healthcare Managers";3;3;0;"009";"1";"HP 3325 and [ECO 2301 or ECO 2314]";""
"HA";"HA 3376";"3376";"Financial Management for Healthcare Managers";3;3;0;"009";"1";"HA 3375";""
"HA";"HA 4121";"4121";"Problems in Healthcare Administration";1;1;0;"009 045";"1";"";""
"HA";"HA 4141";"4141";"Healthcare Comprehensive Exam Review and Administration including Field Placement Orientation";1;1;0;"009";"1";"";""
"HA";"HA 4221";"4221";"Problems in Healthcare Administration";2;2;0;"009 045";"1";"";""
"HA";"HA 4305";"4305";"Healthcare Services Marketing";3;3;0;"009";"1";"";""
"HA";"HA 4315";"4315";"Health Services Operations Management";3;3;0;"009 044";"1";"";""
"HA";"HA 4318";"4318";"Employment Law in Healthcare Management";3;3;0;"009";"1";"HA 3329";""
"HA";"HA 4320";"4320";"Seminar in Healthcare Administration";3;3;0;"009 044 045";"1";"";""
"HA";"HA 4322";"4322";"Public Health Administration";3;3;0;"009";"1";"";""
"HA";"HA 4325";"4325";"Healthcare Strategic Management";3;3;0;"009 044";"1";"";""
"HA";"HA 4440";"4440";"Practicum Internship A";4;0;16;"009";"0";"";""
"HA";"HA 4441";"4441";"Practicum Internship B";4;0;16;"009";"0";"";""
"HA";"HA 4848";"4848";"Healthcare Administrative Residency";8;0;40;"009";"0";"";""
"HI";"HI 3310";"3310";"Health Informatics";3;3;0;"009";"1";"";""
"HI";"HI 3311";"3311";"Databases in Healthcare";3;3;2;"009";"1";"";""
"HI";"HI 4401";"4401";"Advanced Health Informatics and Security";4;3;2;"009";"1";"";""
"HIM";"HIM 2360";"2360";"Medical Terminology";3;3;0;"009";"1";"";""
"HIM";"HIM 3301";"3301";"Hospitals and Health Systems";3;3;0;"009";"1";"";""
"HIM";"HIM 3310";"3310";"Health Informatics";3;3;0;"009";"1";"";""
"HIM";"HIM 3311";"3311";"Databases in Healthcare";3;2;2;"009";"1";"";""
"HIM";"HIM 3350";"3350";"Legal Aspects of HIM";3;3;0;"009";"1";"";""
"HIM";"HIM 3364";"3364";"Coding and Classification Systems";3;2;2;"009 047";"1";"Department Approval";""
"HIM";"HIM 3367";"3367";"Disease and Medical Science";3;3;0;"009";"1";"";""
"HIM";"HIM 3380";"3380";"Quality Management for HIM";3;3;0;"009";"1";"";""
"HIM";"HIM 3390";"3390";"Principles of Management in HIM";3;3;0;"009";"1";"";""
"HIM";"HIM 3463";"3463";"Foundations of Health Information Management";4;3;2;"009";"1";"";""
"HIM";"HIM 4101";"4101";"Problems in Health Information Management";1;1;0;"009 045";"1";"";""
"HIM";"HIM 4320";"4320";"Principles of Information Governance";3;3;0;"009 045";"1";"";""
"HIM";"HIM 4331";"43331";"Research and Data Analytics for HIM";3;3;0;"009";"1";"";""
"HIM";"HIM 4363";"4363";"Comparative Record Systems";3;3;0;"009";"1";"";""
"HIM";"HIM 4364";"4364";"Coding and Compliance for HIM";3;2;2;"009 047";"1";"";""
"HIM";"HIM 4370";"4370";"Finance and Reimbursement Methodologies for HIM";3;3;0;"009";"1";"";""
"HIM";"HIM 4383";"4383";"Seminar in Health Information Management";3;3;0;"009";"1";"";""
"HIM";"HIM 4385";"4385";"Health Information Management Practicum";3;0;8;"009 044";"1";"";""
"HIM";"HIM 4388";"4388";"Practicum";3;0;8;"009 044 046 047";"0";"";""
"HIM";"HIM 4389";"4389";"Professional Practice Experience";3;1;40;"009 044 046 047";"0";"";""
"HIM";"HIM 4390";"4390";"Contemporary Leadership Principles for HIM";3;3;0;"009 044";"1";"";""
"HIM";"HIM 4393";"4393";"Project Management for Health Information Management";3;3;0;"009 044";"1";"Department Approval";""
"HIM";"HIM 4401";"4401";"Advanced Health Informatics and Security";4;3;2;"009";"1";"";""
"HIM";"HIM 4501";"4501";"Professional Practice Experience";5;1;40;"009 044";"1";"";""
"HP";"HP 3302";"3302";"Biostatistics";3;2;2;"009 047";"1";"MATH 1315 or MATH 1319";""
"HP";"HP 3325";"3325";"Healthcare Statistics";3;3;0;"009";"1";"MATH 1315 or MATH 1319";""
"HS";"HS 3374";"3374";"Principles of Accounting for Healthcare Managers";3;3;0;"";"1";"";""
"HS";"HS 4300";"4300";"International Healthcare and Wellness";3;3;0;"045";"1";"Department Approval";""
"HS";"HS 4327";"4327";"Legal Concepts of Healthcare";3;3;0;"044";"1";"";""
"HS";"HS 4379";"4379";"Introduction to Financial Management for Health Sciences";3;3;0;"";"1";"";""
"HIST";"HIST 1310";"1310";"History of the United States to 1877";3;2;1;"022 023 044 060";"1";"";""
"HIST";"HIST 1320";"1320";"History of the United States, 1877 to Date";3;2;1;"022 023 044 060";"1";"";""
"HIST";"HIST 2310";"2310";"Western Civilization to 1715";3;3;0;"044";"1";"";""
"HIST";"HIST 2311";"2311";"History of World Civilization to the 17th Century";3;3;0;"044";"1";"";""
"HIST";"HIST 2312";"2312";"History of World Civilization from the 17th Century";3;3;0;"044";"1";"";""
"HIST";"HIST 2320";"2320";"Western Civilization, 1715 to Date";3;3;0;"044";"1";"";""
"HIST";"HIST 2327";"2327";"History of Mexican America to 1865";3;3;0;"044 060";"1";"";""
"HIST";"HIST 2328";"2328";"History of Mexican America from 1865";3;3;0;"044 060";"1";"";""
"HIST";"HIST 2381";"2381";"African American History to 1877";3;3;0;"044 060";"1";"";""
"HIST";"HIST 2382";"2382";"African American History from 1877";3;3;0;"044 060";"1";"";""
"HIST";"HIST 3310";"3310";"History of Europe, 1815-1919";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3311";"3311";"History of Europe Since 1919";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3312";"3312";"Renaissance and Reformation";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3313";"3313";"Europe During the Old Regime, 1600-1760";3;3;0;"044";"1";"";""
"HIST";"HIST 3314";"3314";"Revolutionary Europe, 1760-1815";3;3;0;"044";"1";"";""
"HIST";"HIST 3315";"3315";"History of England to 1603";3;3;0;"044";"1";"";""
"HIST";"HIST 3316";"3316";"History of England Since 1603";3;3;0;"044";"1";"";""
"HIST";"HIST 3317";"3317";"U.S. Womens History to 1877";3;3;0;"044";"1";"";""
"HIST";"HIST 3318";"3318";"U.S. Womens History since 1877";3;3;0;"044";"1";"";""
"HIST";"HIST 3319";"3319";"History of Brazil";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3320";"3320";"History of Mexico";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3322";"3322";"Colonial History of Latin America to 1828";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3324";"3324";"Latin America from Independence to Present";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3325G";"3325G";"Modern Revolutions in Latin American History";3;3;0;"022 044 045";"1";"";""
"HIST";"HIST 3325I";"3325I";"Resistance and Rebellion in Colonial Latin America";3;3;0;"022 044 045";"1";"";""
"HIST";"HIST 3326";"3326";"The Southern Cone of Latin America";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3327";"3327";"History of Mexico to 1848";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3328";"3328";"Militarism in Latin America";3;3;0;"044";"1";"";""
"HIST";"HIST 3329";"3329";"Spanish Borderlands, 1521-1821";3;3;0;"022 044";"1";"";""
"HIST";"HIST 3332";"3332";"History of Early Modern Spain from 1492 to 1808";3;3;0;"044";"1";"";""
"HIST";"HIST 3333";"3333";"History of Modern Spain from 1808 to Present";3;3;0;"044";"1";"";""
"HIST";"HIST 3337";"3337";"History of U.S. Foreign Policy Making in the Muslim World";3;3;0;"044";"1";"";""
"HIST";"HIST 3338";"3338";"History of Religion in India";3;3;0;"044";"1";"";""
